npv_cost_gbp,total_co2_t,first_overlay_year
156390.729569642,255.56424,7
83214.8878910392,165.140016,12
83090.4751694419,166.990128,11
134608.022373809,286.322352,7
117118.616676516,226.65624,8
110109.011374463,166.990128,10
92699.2763648474,165.140016,13
134327.626032681,226.65624,8
121637.217513627,195.898128,10
81963.6800512499,255.56424,7
114108.338315195,195.898128,10
111770.453392599,166.990128,10
114242.857532904,195.898128,10
85282.5760984957,195.898128,9
103886.252790598,226.65624,8
83825.6624281924,195.898128,10
78465.5155295669,195.898128,10
104912.514299301,226.65624,8
118053.566083285,253.714128,7
84665.9381319498,197.74824,9
86705.3258356106,166.990128,10
90917.5059943378,257.414352,7
97662.4494308793,195.898128,9
113803.179882271,197.74824,9
135128.896429881,388.096032,5
74874.0879912258,195.898128,9
104585.015179835,311.530128,6
105507.337267312,197.74824,9
121368.081159383,195.898128,10
101939.03033948,166.990128,10
123417.920659942,315.230352,5
98828.8351637929,136.232016,14
123090.553642091,228.506352,7
128477.741036663,197.74824,9
118423.671154971,165.140016,11
131309.707453199,226.65624,8
90319.0771718343,197.74824,9
155944.961353072,259.264464,7
110477.162443298,313.38024,5
86864.8190738828,255.56424,7
111617.845374833,165.140016,13
105111.628773139,226.65624,8
87616.3020453174,195.898128,9
78467.5588739534,166.990128,10
180521.006104805,286.322352,6
83946.1294650783,226.65624,8
134789.164715654,197.74824,9
187452.761127444,311.530128,5
136463.210736983,255.56424,7
89731.7893504094,197.74824,9
113023.982905794,226.65624,8
100257.442383811,282.622128,7
134129.095400528,197.74824,9
119247.181732558,226.65624,8
84783.8410299837,195.898128,10
158029.64392497,259.264464,6
112184.564313138,166.990128,10
115079.132345252,226.65624,8
68406.9735339184,165.140016,12
87496.0687963629,166.990128,10
133356.831095619,311.530128,6
100163.621619061,195.898128,10
112610.924701471,228.506352,7
94869.2204830388,255.56424,7
96394.8637595586,195.898128,9
128766.750987738,197.74824,9
79812.9727549295,166.990128,10
113096.284675295,136.232016,14
175278.179837953,257.414352,7
108775.231356676,284.47224,6
76292.9287069494,195.898128,10
122424.049851529,195.898128,10
91891.4946317854,226.65624,8
79341.6237305426,226.65624,8
79264.8369182816,165.140016,11
98688.7870243519,284.47224,7
119560.867344061,228.506352,7
109245.187170567,311.530128,5
125379.980717927,197.74824,9
114697.593535152,311.530128,5
89970.6766571769,166.990128,11
132606.193432282,226.65624,8
103448.759779147,165.140016,11
158130.089538285,257.414352,7
107096.13324983,197.74824,8
86448.213870005,195.898128,10
147621.718271608,313.38024,5
76160.0914970023,166.990128,10
88551.7096429208,195.898128,9
142944.946868246,284.47224,6
122229.533175351,226.65624,8
117221.434266553,195.898128,10
88946.5573038248,286.322352,6
104105.181630435,166.990128,10
94302.4452230635,195.898128,9
141504.567108699,251.864016,8
162620.699108561,284.47224,5
168427.656446423,284.47224,6
126948.455104281,197.74824,9
100994.742728413,253.714128,7
120117.462288512,228.506352,8
69197.3150334314,136.232016,13
79186.1405409651,166.990128,10
121292.352265809,166.990128,10
98410.5217020942,228.506352,7
78010.1224775769,165.140016,11
133037.991247482,226.65624,8
104470.706202334,165.140016,11
117862.183003878,166.990128,10
104841.805130022,195.898128,10
113160.405475398,165.140016,12
102353.881627128,166.990128,11
133224.732361205,257.414352,7
156854.254434566,286.322352,7
131730.705371407,228.506352,8
72166.9441170721,165.140016,11
109119.944163918,166.990128,10
92130.6152141285,165.140016,11
81355.2944785871,165.140016,11
145995.816273249,313.38024,5
91414.8897018652,197.74824,9
111251.235925396,257.414352,7
132851.084564267,257.414352,7
144121.377663074,226.65624,8
94424.2599977196,165.140016,11
111508.757743286,315.230352,6
92645.7002983806,195.898128,10
115401.797339035,166.990128,10
122682.265608562,226.65624,8
119791.234193822,197.74824,9
89068.5522445095,286.322352,7
124090.228388363,195.898128,10
95815.5701952888,224.806128,8
130402.16943439,259.264464,6
95690.5373732935,165.140016,11
167474.915009391,311.530128,6
95906.8137757853,165.140016,11
132233.55727948,313.38024,5
106621.083731992,286.322352,6
117892.657476586,255.56424,7
117047.333517803,257.414352,7
68064.2707052954,195.898128,10
77589.1203564905,165.140016,11
115646.941663901,195.898128,9
133660.085752203,257.414352,7
137197.036176067,226.65624,8
73343.3016565279,197.74824,9
92024.6655883233,166.990128,11
141651.713866878,286.322352,6
139518.324948179,226.65624,8
83835.5297717848,166.990128,11
93191.0476990305,166.990128,11
78436.1813810729,226.65624,8
127390.477256044,286.322352,6
77873.7372707182,195.898128,10
125585.05990907,195.898128,9
99451.4680531207,226.65624,8
78284.4399636257,226.65624,8
83151.2130783957,165.140016,11
118384.180559798,195.898128,10
94273.1727659631,195.898128,10
79985.9055150999,195.898128,9
130509.679334154,195.898128,10
69895.7769003012,166.990128,11
124246.318153387,197.74824,9
85906.0646798455,226.65624,8
146987.328785672,415.15392,5
