Year,Backlog_km,Backlog_fraction,Acceptable_km,Acceptable_fraction,Cumulative_cost_GBP,Cumulative_CO2_whole_life_t,Cumulative_CO2_construction_t,Cumulative_CO2_use_phase_t
0,15,0.15,85,0.85,0,0,0,0
1,18.2142908142908,0.182142908142908,81.7857091857092,0.817857091857092,297760.5,689.958975384615,295.47561,394.483365384615
2,17.3451049808177,0.173451049808177,82.6548950191823,0.826548950191823,659326.922667243,1440.67244184791,654.267522604665,786.404919243249
3,17.4038658764765,0.174038658764765,82.5961341235235,0.825961341235235,1003639.39810996,2192.24778566107,995.937887586076,1196.30989807499
4,17.2940579541339,0.172940579541339,82.7059420458662,0.827059420458662,1349118.31846413,2959.45626453394,1338.76574666675,1620.6905178672
5,17.2446415772302,0.172446415772302,82.7553584227698,0.827553584227698,1692417.47469426,3740.82882875005,1679.43056822495,2061.3982605251
6,17.199871631655,0.17199871631655,82.800128368345,0.82800128368345,2034735.68125138,4538.16584915361,2019.12196750918,2519.04388164443
7,17.1672867674691,0.171672867674691,82.8327132325309,0.828327132325309,2376165.17304987,5352.43221305948,2357.93147166151,2994.50074139797
8,17.1419236442475,0.171419236442475,82.8580763557525,0.828580763557525,2716947.83248487,6184.67880250538,2696.09910697237,3488.57969553301
9,17.1224006232553,0.171224006232553,82.8775993767447,0.828775993767447,3057227.01616974,7035.87988988798,3033.7671299962,4002.11275989179
10,17.1072002784433,0.171072002784433,82.8927997215567,0.828927997215567,3397118.65422179,7906.99313566574,3371.05058125091,4535.94255441483
11,17.0953030430887,0.170953030430887,82.9046969569114,0.829046969569114,3736708.55478908,8798.96594581251,3708.03461042859,5090.93133538392
12,17.0859253830305,0.170859253830305,82.9140746169695,0.829140746169695,4076062.28690652,9712.74869201322,4044.78428341469,5667.96440859853
13,17.0784856174809,0.170784856174809,82.9215143825191,0.829215143825191,4415229.86590745,10649.3031459205,4381.34923174572,6267.95391417482
14,17.0725449827421,0.170725449827421,82.9274550172579,0.829274550172579,4754249.76035438,11609.6095006029,4717.76762879248,6891.84187181042
15,17.0677718824859,0.170677718824859,82.9322281175141,0.829322281175141,5093151.72904329,12594.6719212944,5054.06900499436,7540.60291630009
16,17.0639140863683,0.170639140863683,82.9360859136317,0.829360859136317,5431958.94835096,13605.5231213374,5390.27635888225,8215.24676245515
17,17.0607786521586,0.170607786521586,82.9392213478414,0.829392213478414,5770689.58770523,14643.2282141742,5726.4077204594,8916.82049371482
18,17.0582170625429,0.170582170625429,82.9417829374571,0.829417829374572,6109357.98649563,15708.8880507463,6062.47731908083,9646.41073166547
19,17.056114262271,0.17056114262271,82.943885737729,0.82943885737729,6447975.53593905,16803.6421920639,6398.49645855198,10405.1457335119
20,17.0543805299861,0.170543805299861,82.9456194700139,0.829456194700139,6786551.34332512,17928.6716292097,6734.47417627693,11194.1974529327
