Year,Backlog_km,Backlog_fraction,Acceptable_km,Acceptable_fraction,Cumulative_cost_GBP,Cumulative_CO2_whole_life_t,Cumulative_CO2_construction_t,Cumulative_CO2_use_phase_t
0,15,0.15,85,0.85,0,0,0,0
1,12.7500035700036,0.127500035700036,87.2499964299964,0.872499964299964,297760.5,689.958975384615,295.47561,394.483365384615
2,12.999102700602,0.129991027006019,87.000897299398,0.870008972993981,550856.99586707,1360.25700190892,546.629948823265,813.627053085659
3,12.8868074799125,0.128868074799125,87.1131925200875,0.871131925200875,808898.283845909,2049.24318231113,802.691135484133,1246.552046827
4,12.8422729637403,0.128422729637403,87.1577270362597,0.871577270362597,1064710.43308741,2752.45313428634,1056.54028888945,1695.9128453969
5,12.7982475245886,0.127982475245886,87.2017524754114,0.872017524754114,1319638.54100873,3471.7501443355,1309.51218473929,2162.23795959621
6,12.7629278579994,0.127629278579994,87.2370721420006,0.872370721420006,1573692.71314508,4208.01309754884,1561.61685102321,2646.39624652563
7,12.7334811593848,0.127334811593848,87.2665188406152,0.872665188406152,1827045.76517587,4962.24047333946,1813.0257773051,3149.21469603436
8,12.7090391216544,0.127090391216544,87.2909608783456,0.872909608783456,2079814.27962647,5735.39781603388,2063.85465150462,3671.54316452927
9,12.6886781469004,0.126886781469004,87.3113218530997,0.873113218530997,2332097.60251869,6528.4504524546,2314.2020573036,4214.24839515101
10,12.6716786192756,0.126716786192756,87.3283213807244,0.873283213807244,2583976.74580937,7342.36713126267,2564.14838500687,4778.2187462558
11,12.6574486811678,0.126574486811678,87.3425513188322,0.873425513188322,2835518.43657702,8178.12676133645,2813.75984965716,5364.36691167929
12,12.6455057965674,0.126455057965674,87.3544942034327,0.873544942034327,3086777.65311228,9036.72370250812,3063.09100766461,5973.63269484351
13,12.6354553170609,0.126354553170609,87.3645446829392,0.873645446829391,3337799.7950282,9919.1724771778,3312.18691026456,6606.98556691323
14,12.6269741279654,0.126269741279654,87.3730258720346,0.873730258720346,3588622.42789058,10826.5119320309,3561.08483476032,7265.4270972706
15,12.6197972630145,0.126197972630145,87.3802027369855,0.873802027369855,3839276.70321258,11759.8089750032,3809.8156936213,7949.99328138192
16,12.6137070877327,0.126137070877327,87.3862929122673,0.873862929122673,4089788.5127415,12720.1619751784,4058.40517991234,8661.75679526602
17,12.6085245320523,0.126085245320523,87.3914754679477,0.873914754679477,4340179.42802796,13708.7038999431,4306.87469965295,9401.82920029011
18,12.6041019828387,0.126041019828387,87.3958980171613,0.873958980171613,4590467.46595637,14726.6052503261,4555.24213147349,10171.3631188527
19,12.600317517676,0.12600317517676,87.399682482324,0.87399682482324,4840667.71318711,15775.0768449224,4803.52244626559,10971.5543986569
20,12.597070223413,0.12597070223413,87.402929776587,0.87402929776587,5090792.83613524,16855.3724941885,5051.72821324752,11803.644280941
