Scenario,Crisis_year,Backlog_km_yr20,Backlog_fraction_yr20,Acceptable_fraction_yr20,Cumulative_cost_GBP_M,Cumulative_CO2_whole_life_t
S0 – Baseline,Not reached,17.0543805299861,0.170543805299861,0.829456194700139,6.78655134332512,17928.6716292097
S1 – Low-budget stress,Not reached,17.0543805299861,0.170543805299861,0.829456194700139,6.78655134332512,17928.6716292097
S2 – High-budget,Not reached,17.0543805299861,0.170543805299861,0.829456194700139,6.78655134332512,17928.6716292097
S3 – Plastic-push,Not reached,14.4488051069561,0.144488051069561,0.855511948930439,6.93589918982923,17178.5654864838
S4 – Laterite-heavy,Not reached,19.2442335644195,0.192442335644195,0.807557664355805,6.03593092535588,16507.0939752543
S5 – Strong enforcement,Not reached,12.597070223413,0.12597070223413,0.87402929776587,5.09079283613524,16855.3724941885
S6 – Combined policy,Not reached,10.6829754935323,0.106829754935323,0.893170245064677,5.26127009566283,16182.0855608981
