npv_cost_gbp,total_co2_t,first_overlay_year
120155.243311571,50.21232,6
115491.117117158,55.426272,5
69572.8652695476,47.388096,7
130805.415869342,55.534896,5
97966.447850592,47.49672,7
95372.4234207218,50.21232,6
57822.1175076535,44.672496,8
68132.5457740957,41.956896,9
120547.742382571,116.746272,4
77707.3965299307,44.672496,8
93406.0534453866,50.103696,5
75806.9044373603,55.426272,6
78950.2262662758,47.49672,7
105696.29269037,47.49672,7
63720.9116231873,44.672496,8
98552.415176888,41.848272,10
161935.718768296,83.479296,5
83525.2024865163,55.534896,5
61189.2450417916,44.78112,8
91210.278014754,41.956896,9
74995.9686989194,50.21232,6
68709.1866336712,52.710672,6
67754.0037783455,44.672496,8
94691.7120983348,116.746272,4
91631.503483487,47.605344,6
88376.5242299863,58.141872,4
99009.6492256926,47.388096,7
83661.4549751671,55.534896,5
68880.8723063846,41.848272,10
108512.435517698,50.103696,6
87864.9917545673,44.672496,8
137685.372267242,55.534896,5
84726.2070568459,47.49672,7
70021.7967553769,44.78112,7
121038.913193729,60.857472,4
58405.7334249803,41.848272,9
70818.2213399092,47.388096,8
111263.229166144,55.534896,5
98499.1224551292,50.21232,6
87130.9691368002,41.956896,9
74924.4720465721,86.086272,5
80129.9383217277,41.956896,9
80534.4452384004,47.605344,7
113689.655705488,52.819296,6
125821.525169222,55.426272,5
148863.121946677,60.857472,4
113152.568205888,50.21232,6
79320.3127878767,52.710672,6
102041.416235305,52.819296,5
59910.1621665252,41.956896,8
60808.3731667328,41.956896,9
102408.815543515,44.672496,8
89769.1014233084,55.317648,6
62901.7079299713,44.672496,8
108256.878750568,50.21232,6
80276.7598782184,41.848272,10
100139.629157739,44.672496,8
93910.4859219338,50.103696,6
94983.9074993359,44.672496,8
86198.6412563475,44.672496,8
121028.391792385,86.086272,5
134067.09662247,58.250496,5
104162.228647041,50.21232,7
61140.2319167945,44.78112,7
89078.2877763959,44.672496,8
78410.0706021881,44.78112,7
76182.7899062547,47.49672,7
129510.557316318,116.746272,4
77910.4217806941,50.21232,6
93564.9016677827,55.426272,5
115804.900589289,55.534896,5
112601.767180457,47.49672,7
73491.33988077,41.848272,10
84727.2605567738,58.250496,5
71005.8284568046,44.672496,9
97059.152898597,44.672496,8
97037.1492202285,50.21232,7
89474.7258719787,44.672496,8
82020.4458089669,86.086272,4
99990.9533631434,44.672496,7
89517.8780290402,83.479296,5
114659.755101169,58.141872,4
82027.9887936922,44.672496,8
134070.774097716,61.07472,5
76733.2971002203,41.956896,9
114518.644099906,116.746272,5
83697.0479057636,55.64352,5
103371.932711935,55.426272,5
95287.7831930079,52.819296,5
51724.7585822042,41.956896,8
59887.7649692277,41.848272,9
89262.521163909,44.672496,8
116500.74984927,55.64352,6
114731.033328327,50.103696,6
67377.0796468236,52.710672,5
85220.6119299512,47.49672,7
105711.910878851,52.819296,5
126009.651241305,52.710672,6
68569.7259340181,44.672496,8
79621.0676463476,44.672496,8
69618.9532093746,52.819296,5
93016.1897913916,52.819296,5
70441.7796650581,50.103696,7
104284.475670113,47.49672,7
77334.3770990549,47.49672,7
64262.497319782,50.21232,6
66617.2779310766,44.672496,9
92668.4888312908,44.672496,8
74852.3783087232,44.672496,7
62301.0058719831,44.672496,7
110402.839708869,47.279472,7
58380.525929482,44.672496,8
97379.5933930207,44.78112,7
75595.2954055867,52.710672,5
120694.988207991,122.286096,4
116943.946534061,52.710672,5
114978.887995753,44.78112,7
69801.0441827897,41.956896,9
143185.303686992,55.426272,5
116905.917887002,91.408848,4
61457.1355141166,44.672496,9
106671.400167384,44.672496,8
97384.896011466,86.086272,5
88621.0648000786,50.103696,6
58319.3057024453,41.956896,9
120713.469967963,52.819296,5
54927.7747365698,39.132672,10
62547.7082004737,41.956896,9
127886.334674226,55.64352,6
70677.7723408491,44.78112,8
75693.636940857,55.534896,5
60820.7871691892,41.956896,9
87346.1430336391,50.21232,5
101842.29895431,52.819296,5
142218.629927824,58.250496,4
96760.3368509701,44.672496,8
109784.98498686,86.30352,4
115925.434305077,49.995072,6
92235.3661363332,55.426272,5
123542.825135135,58.141872,5
71963.0737386584,44.78112,7
110471.461797845,58.35912,5
86269.812052694,47.388096,7
78769.7533611745,44.672496,8
106105.777718854,47.49672,7
80006.914053585,47.605344,7
115163.569554956,58.141872,4
124399.65537345,88.801872,4
120713.314939242,52.710672,6
120739.632413346,52.710672,5
99724.4901504462,55.534896,5
81667.3813921019,50.21232,6
75817.2611582176,41.848272,9
129835.936461819,55.426272,5
109082.223199158,47.49672,7
130977.239964684,86.086272,5
72779.6967383878,44.672496,8
101788.815101681,50.103696,6
134224.776603534,55.534896,5
71601.248343649,50.21232,6
61351.1120091151,44.672496,8
72716.0515002047,55.426272,5
100455.825771045,44.78112,7
114109.719736759,47.49672,7
148899.892933219,88.801872,4
82157.4760189572,50.21232,6
82942.3401718815,47.279472,7
65824.0450271825,44.672496,7
66900.8312726319,44.672496,8
108619.178224948,52.819296,5
83700.8508604915,44.672496,8
91165.1256363691,55.64352,5
95133.0936746771,47.605344,6
117273.3383743,55.534896,5
93035.1577266205,55.317648,5
138102.486387407,89.01912,4
104029.586672171,55.317648,5
70462.2521365771,41.956896,9
108017.007129382,52.819296,5
105091.701172977,50.103696,5
80579.939786318,55.426272,5
131497.838793024,58.141872,5
72329.9419330753,44.672496,9
97175.8126870472,44.78112,7
99528.1207358557,44.672496,7
89879.8239758763,52.819296,6
94854.8563416418,50.21232,6
65426.1871559812,47.49672,7
131286.885039328,116.746272,4
86639.6359148554,44.672496,7
55032.7079158822,41.956896,8
90732.7700591742,41.956896,9
124284.42144728,55.426272,5
75161.346550679,50.103696,6
184329.600815886,116.746272,4
117220.24915517,55.317648,5
85162.4472910221,55.317648,5
104433.734714303,47.49672,7
128165.969361295,58.141872,5
116115.623194481,55.534896,6
118424.028597106,47.605344,7
125693.041497931,116.746272,4
100596.868396497,50.21232,6
80700.2449017248,88.801872,4
66313.0948707535,44.672496,8
100569.156197772,55.534896,5
56940.5523525862,39.132672,10
93908.1981311445,50.103696,5
81965.0808559872,47.605344,7
94197.2611083752,47.49672,7
131900.338916329,55.534896,5
79920.8808281655,47.49672,7
84347.3097594679,55.426272,5
81267.2318557194,52.819296,6
72307.3486398009,44.78112,7
73716.238754599,44.78112,8
82365.8289086015,44.672496,9
147293.822931867,55.317648,5
118117.45122622,47.388096,7
100882.943138889,47.49672,7
95330.5546323124,47.49672,7
97039.6852397135,52.710672,5
51440.0051349421,41.956896,9
67483.3784318077,47.49672,7
90071.8912657331,47.49672,7
89944.9339146827,44.672496,7
83419.5499783726,47.49672,7
67370.314117073,44.78112,8
70067.789486832,47.49672,7
65074.8907552632,41.848272,9
111692.744071981,55.426272,5
119366.365192321,55.534896,6
75429.6385227212,44.78112,7
66668.6230431771,44.672496,8
79038.7122160766,44.672496,8
92880.5565560385,55.426272,5
93841.0798162378,55.64352,5
64927.4064887295,47.388096,7
112506.210822681,52.819296,6
95717.2368531986,116.746272,5
64076.0483938222,44.672496,8
79432.274113723,50.103696,6
98974.8857028502,44.78112,7
117386.93977608,50.21232,6
73375.9711843844,50.21232,6
86563.7860685171,44.672496,8
125495.757602246,55.534896,6
97202.164553277,47.605344,7
76783.7182924053,47.279472,7
97025.5754345397,47.388096,7
102004.910982249,52.710672,5
104792.684765388,58.35912,5
83746.011925306,44.672496,8
88637.2971729191,47.388096,7
105822.069018935,47.49672,7
78624.8964135283,44.672496,8
97723.2112858022,44.672496,8
62403.7714388186,44.672496,8
136511.513419062,52.92792,5
70355.0472364718,47.605344,6
70148.0207802266,50.103696,7
107657.904256376,44.78112,7
86650.6552293455,47.49672,7
77965.8797471592,47.605344,7
59894.5481174713,44.672496,8
108345.02577385,47.49672,7
85914.2463433596,47.49672,7
95143.6915049776,44.78112,7
188303.515922134,119.353248,4
93405.7610042271,52.710672,5
115372.665440844,55.317648,5
98976.9546380792,116.854896,4
142656.761088847,58.141872,4
94564.6416574748,55.209024,5
77926.0752363911,52.710672,6
77921.4303101132,44.78112,7
77854.223583976,39.132672,10
86729.971184858,41.956896,9
91782.0548375604,41.956896,9
124872.028806643,86.194896,5
87012.8803710899,41.956896,8
75901.6446133324,47.49672,7
107038.141401492,47.49672,7
86485.7604305619,44.672496,8
84859.1854235692,44.672496,8
123131.008857615,58.141872,4
84829.5255030493,47.49672,7
114560.77682599,50.103696,6
55487.8292218636,44.672496,8
107045.157499323,88.801872,4
97521.4751997696,47.49672,7
68891.7554667596,44.672496,8
105643.064176408,55.426272,5
70222.6661637017,47.49672,7
77112.8070688196,47.49672,7
68257.7903417194,41.848272,9
72077.5150343354,50.21232,6
91719.9703970124,44.672496,8
77691.4993248791,47.49672,7
84743.5104615785,44.672496,9
76954.6214198475,41.956896,9
67467.8287115887,47.605344,6
112749.486630208,50.103696,6
80323.1449408569,41.956896,9
97237.3277091676,47.49672,7
73590.5638625924,41.848272,10
84733.9260871522,47.49672,7
109206.804433233,52.819296,5
80832.1090567939,52.819296,6
63877.5372792712,44.672496,8
62414.5729617415,44.672496,8
73351.9783904888,50.21232,7
53666.5692152262,41.956896,9
77715.3680130468,52.819296,6
116929.584294202,47.49672,7
86552.7539458479,41.848272,10
59555.6081950345,41.956896,8
63466.1743355221,41.956896,9
88561.2372053264,47.49672,7
87371.9356210959,47.49672,7
121501.557574391,52.602048,5
95611.0269143754,52.710672,5
112381.095397708,44.78112,7
78654.4260206311,47.49672,7
66057.975986086,44.78112,8
122796.007628639,58.141872,5
90670.561261566,44.78112,7
74099.5971137038,41.848272,10
79473.7235281658,44.672496,8
111844.922382115,55.64352,5
71398.8429814757,44.672496,8
63390.2322490229,41.848272,10
133413.214703534,55.64352,5
108878.392975906,52.710672,6
59465.1934400097,41.848272,9
83737.7851492263,52.819296,5
112052.697022929,52.710672,5
90881.787698477,44.78112,8
108713.061079755,50.21232,6
92329.7097138361,47.49672,7
76575.4049138615,41.956896,9
149059.98740508,88.910496,5
101886.963608409,50.21232,7
153572.251350212,152.946096,4
86575.927473991,44.78112,7
111406.133301882,52.819296,5
115602.881688598,55.534896,5
146734.026715979,88.910496,5
86112.1035042282,58.141872,4
82861.2955985125,41.956896,9
80138.4443268375,47.49672,7
114395.398873737,60.966096,4
89506.06613445,44.672496,8
85190.0784942368,44.78112,8
76989.3085499339,47.49672,7
91145.7496045569,41.956896,9
100455.803820826,47.49672,7
68508.1659065149,39.132672,10
72835.4807617375,88.910496,5
83753.1665756298,47.49672,7
81334.5464397717,47.388096,7
58191.6647094542,41.956896,9
91322.1399205001,52.710672,5
61406.8930127068,41.956896,9
80920.8471697468,39.132672,10
87058.2064354602,58.35912,5
66828.2307508242,44.78112,7
69819.186786413,44.672496,7
67139.6051103988,41.848272,10
70588.3780555316,47.49672,7
93052.6232513401,47.388096,7
97891.8223501718,55.426272,6
81449.9555413924,41.956896,9
97443.57613661,47.388096,7
54811.2705989702,41.956896,9
79746.2477075883,41.848272,10
74114.8066026628,50.103696,6
90807.9107558686,47.49672,7
118562.881424566,85.977648,4
86956.5110708558,88.910496,4
113011.839679007,47.49672,7
107258.708810462,116.746272,4
125530.499751264,58.141872,5
89582.9559410579,52.819296,6
112952.60896721,55.64352,5
114029.638871555,58.250496,4
103255.613314666,41.848272,10
106676.808615592,52.92792,5
111811.619007165,113.922048,4
97540.965658771,47.49672,7
96955.8177383055,47.49672,7
114155.293108583,55.534896,5
89839.1471123094,41.956896,8
100921.946922878,47.605344,7
116999.011672085,52.92792,5
91321.7945892653,55.426272,6
101825.757722307,44.78112,7
