Budget_factor,Annual_budget_GBP,Rehab_capacity_km_per_yr,Year20_backlog_km,Budget_binding
0.2,168958.8,8.5114781846484,58.109435291946,Yes
0.3,253438.2,12.7672172769726,37.7086684605724,Yes
0.4,337917.6,17.0229563692968,17.3395848040174,Yes
0.5,422397,21.278695461621,17.0543805299861,No
0.7,591355.8,29.7901736462694,17.0543805299861,No
1,844794,42.557390923242,17.0543805299861,No
1.3,1098232.2,55.3246082002146,17.0543805299861,No
