npv_cost_gbp,total_co2_t,first_overlay_year
126322.032413397,108.9856128,14
147723.551566326,179.8449024,8
89600.035392101,156.7185024,10
106931.623234886,133.5921024,10
122639.835882166,132.1120128,11
89466.401289,108.9856128,13
92654.4501604697,108.9856128,15
106591.278520762,108.9856128,18
85281.1759316935,156.7185024,10
125953.171127763,204.451392,7
124243.266650166,156.7185024,10
136255.477383078,132.1120128,13
110139.470919973,181.324992,8
92072.7829744077,108.9856128,15
153324.395295096,133.5921024,10
170786.889929141,182.8050816,8
149187.700282758,181.324992,8
127493.492973426,132.1120128,13
94492.3509677231,133.5921024,10
130906.311289894,108.9856128,15
126483.848701366,158.198592,8
150817.553286143,156.7185024,9
100864.407187707,132.1120128,12
108816.967768567,156.7185024,10
198710.547972995,227.577792,7
95492.7230593373,108.9856128,14
147401.503524265,156.7185024,9
167050.511636634,181.324992,8
126631.840235187,158.198592,8
138469.895590233,156.7185024,10
154678.005868905,158.198592,9
94270.0468172375,108.9856128,13
99013.3990266537,132.1120128,11
139361.704435336,181.324992,8
127425.60504525,156.7185024,10
126873.504835485,132.1120128,12
102578.562647133,108.9856128,17
141899.091103741,156.7185024,10
134444.223754672,132.1120128,11
86966.6517726884,158.198592,9
128804.40754903,133.5921024,10
122785.445737494,108.9856128,14
118889.975878708,108.9856128,14
94479.8414069364,133.5921024,11
115138.466705196,156.7185024,9
97739.5544823512,133.5921024,10
87421.0976955353,132.1120128,11
118770.361394368,156.7185024,9
140472.22743991,204.451392,7
90302.460326464,133.5921024,11
104043.592142181,133.5921024,10
99326.8667150976,181.324992,8
114569.906458631,156.7185024,10
123438.591197574,133.5921024,11
136412.967710489,227.577792,6
86311.415186475,156.7185024,10
102015.656531159,181.324992,8
112368.910406252,133.5921024,11
138239.273793015,132.1120128,11
110278.407024648,108.9856128,15
120541.67805979,201.4912128,7
119738.501767063,108.9856128,13
142492.30763436,181.324992,8
133935.070036897,132.1120128,13
127573.838963937,108.9856128,13
145901.655121533,156.7185024,10
103234.746662287,156.7185024,10
155188.926512195,156.7185024,9
105909.042928694,181.324992,7
95328.989687991,181.324992,8
120151.684542085,108.9856128,17
104740.113778966,132.1120128,12
106571.003013476,156.7185024,8
92515.3928435675,133.5921024,11
197576.752490867,202.9713024,7
90764.8788304379,156.7185024,10
146500.153927325,133.5921024,11
171467.56170829,181.324992,8
145505.50991888,181.324992,8
93214.5797598462,132.1120128,12
124563.422174168,156.7185024,10
102087.799682981,179.8449024,9
157090.82031276,156.7185024,10
129145.512488511,156.7185024,10
98949.5496851981,133.5921024,10
165768.560377875,181.324992,8
131536.79941131,132.1120128,11
126971.40147073,156.7185024,9
76993.9419479283,108.9856128,14
95227.4683179207,108.9856128,13
145084.830748665,205.9314816,7
110867.901564945,132.1120128,13
130598.021533288,181.324992,8
96740.9781648555,158.198592,9
103315.893630535,132.1120128,13
148574.307393045,156.7185024,10
92387.53891848,132.1120128,12
133293.005171586,107.5055232,16
170139.872262972,156.7185024,10
113484.929452136,179.8449024,7
85118.896143398,132.1120128,12
136069.803971183,132.1120128,12
93359.4398363946,133.5921024,10
84061.054506352,133.5921024,10
91635.792675068,132.1120128,13
110944.74666022,202.9713024,8
129486.214435019,158.198592,9
115143.724699541,205.9314816,7
140107.570409605,133.5921024,10
108691.88819832,181.324992,8
104744.430750701,132.1120128,13
139997.50878702,132.1120128,11
121390.464864541,132.1120128,12
159307.441073438,158.198592,9
111823.874968151,132.1120128,12
95141.1711443828,133.5921024,11
127680.516633043,158.198592,9
86793.4123616606,132.1120128,13
98430.1455300699,132.1120128,11
156908.83296846,205.9314816,7
120189.795859345,133.5921024,10
128999.888297507,132.1120128,12
86172.2324651276,158.198592,9
114873.766211382,108.9856128,14
100720.841687256,132.1120128,12
149875.056457108,156.7185024,9
176600.516074583,202.9713024,7
166280.522124187,181.324992,8
136178.627536865,132.1120128,11
104283.510684165,158.198592,9
125190.811730021,133.5921024,11
80919.0255032702,107.5055232,16
85659.2289794695,108.9856128,14
129174.361917697,108.9856128,13
114067.885612033,181.324992,8
88011.2778520862,108.9856128,14
131647.568596915,132.1120128,12
112451.19690868,108.9856128,15
137455.086967469,132.1120128,12
127930.262012594,156.7185024,9
128128.233087007,108.9856128,14
121495.209866122,132.1120128,12
137389.388917288,158.198592,9
158643.577833199,179.8449024,9
130404.23540108,133.5921024,11
85321.0214039559,132.1120128,12
116631.806275119,108.9856128,14
111233.0230904,133.5921024,11
95475.9872146423,132.1120128,12
144619.459085407,205.9314816,7
101087.451182903,132.1120128,11
116767.134229363,158.198592,9
134818.687684181,156.7185024,9
148096.36732205,133.5921024,11
109894.923809062,132.1120128,13
115705.630765763,205.9314816,7
103366.696709301,132.1120128,13
131036.473971829,132.1120128,13
137619.06525133,156.7185024,9
133203.450863451,133.5921024,11
96872.7673114728,181.324992,7
141258.644873344,133.5921024,10
114954.146393813,178.3648128,8
135738.245674545,158.198592,8
102556.590097914,108.9856128,14
178873.488937931,227.577792,7
102568.47189683,108.9856128,14
136387.45783916,205.9314816,7
105688.4757741,179.8449024,8
126009.971918209,181.324992,8
114982.191484274,156.7185024,9
75028.6006817773,132.1120128,13
85718.5913433089,107.5055232,16
128773.310634502,132.1120128,11
145872.067661004,181.324992,8
144855.024131273,133.5921024,10
81900.9554074689,133.5921024,10
107837.935662218,132.1120128,12
141758.800603351,181.324992,8
151441.283496704,156.7185024,9
99097.0100038081,132.1120128,12
109207.434645512,132.1120128,12
85521.5317958375,156.7185024,10
118953.272748946,156.7185024,10
85761.6776117128,132.1120128,11
119112.540903069,108.9856128,14
108389.752583541,156.7185024,10
82856.2091622002,133.5921024,10
93694.2284727655,108.9856128,14
131250.754569539,132.1120128,12
100290.04429068,108.9856128,14
84646.7189780882,132.1120128,13
140843.823027635,132.1120128,12
77472.5823884817,108.9856128,13
138695.905368866,133.5921024,11
87111.6697042664,133.5921024,10
133614.309601841,204.451392,7
145989.336014623,158.198592,9
148964.116607872,132.1120128,13
99628.0716159345,108.9856128,13
165963.998941681,156.7185024,9
131427.357158894,178.3648128,8
89354.9688635034,132.1120128,12
133084.497549079,108.9856128,14
118873.504168627,179.8449024,8
112208.741632781,133.5921024,10
78837.7586273515,108.9856128,15
175846.196022983,201.4912128,7
80501.1005129286,108.9856128,16
89247.1124404548,108.9856128,15
159742.729045044,179.8449024,9
99980.5144649776,132.1120128,12
89610.4883130874,156.7185024,10
90472.3380189718,132.1120128,13
111510.100997702,156.7185024,10
141661.962290618,179.8449024,8
169019.99634172,181.324992,8
123813.95209211,108.9856128,14
135464.115433223,202.9713024,7
154834.379274089,158.198592,9
120644.742849305,182.8050816,7
132648.045089164,156.7185024,10
97177.1225429807,132.1120128,13
121752.019263661,158.198592,8
120546.985211811,133.5921024,11
111000.14708954,132.1120128,12
135830.86425358,132.1120128,12
110577.80701522,156.7185024,10
135318.309222038,179.8449024,7
140809.748743497,202.9713024,7
169782.733144257,181.324992,7
143978.120497174,156.7185024,10
137003.157853717,202.9713024,7
94754.4432822232,133.5921024,10
105924.691912388,108.9856128,18
154309.683253521,158.198592,8
133858.100952,132.1120128,13
172954.409399611,202.9713024,7
101289.555583949,132.1120128,13
130228.161469265,133.5921024,10
157136.498407619,156.7185024,9
84150.9681589501,132.1120128,12
86071.7149139781,132.1120128,13
91677.437668812,158.198592,9
141781.940770585,133.5921024,10
157514.972241024,156.7185024,10
165288.896732371,182.8050816,7
104723.161237066,156.7185024,10
111583.739713072,132.1120128,11
89358.2082080456,132.1120128,12
88647.9211514123,108.9856128,13
137281.899269507,156.7185024,9
111104.895975423,108.9856128,14
105462.730528745,156.7185024,9
123243.968280468,132.1120128,11
157987.797927467,181.324992,7
125252.304522513,181.324992,7
130491.415411226,158.198592,8
123475.73201779,156.7185024,9
96654.6847381266,108.9856128,15
133112.380300876,156.7185024,8
132399.423044573,133.5921024,10
99269.0224549244,158.198592,9
151391.303596834,158.198592,9
100818.611748985,132.1120128,13
130430.479211994,132.1120128,12
138005.874400219,132.1120128,12
111278.038448485,156.7185024,10
124284.697421108,156.7185024,9
92566.2574546786,156.7185024,10
162635.156630269,204.451392,7
122513.594900823,132.1120128,12
75202.5453481346,108.9856128,14
120909.419857337,107.5055232,17
164986.134507593,179.8449024,8
98634.9158246301,156.7185024,10
204219.231717429,202.9713024,7
129277.702918137,133.5921024,10
105311.655259791,158.198592,9
151999.64031571,158.198592,9
161154.506134875,179.8449024,8
135932.608201522,156.7185024,9
147709.173796359,132.1120128,12
116975.593063914,158.198592,9
131049.181612064,133.5921024,11
101100.914932878,204.451392,7
85374.8656070046,108.9856128,14
124705.178205071,179.8449024,8
83749.7119431323,108.9856128,17
107093.107439257,132.1120128,11
115112.354524829,156.7185024,9
119888.019979476,133.5921024,11
152948.988317791,156.7185024,10
111706.817684388,133.5921024,10
95232.9318779642,156.7185024,10
106072.695927199,158.198592,9
89323.8217848387,108.9856128,14
100935.959406732,132.1120128,13
121099.18277027,132.1120128,11
160320.750443082,156.7185024,10
150924.99364001,132.1120128,11
132466.073783161,133.5921024,11
132286.498264825,132.1120128,11
123101.041259274,158.198592,9
72764.7836719808,108.9856128,15
88647.1915117911,132.1120128,12
119421.615157527,132.1120128,12
120587.036369151,108.9856128,13
118754.888884265,133.5921024,10
100901.111986277,156.7185024,10
96465.637830698,132.1120128,12
93553.7867551722,108.9856128,15
141838.33693167,181.324992,8
143989.530667282,156.7185024,10
104737.835762603,132.1120128,11
93384.0969618977,132.1120128,12
109182.872072999,132.1120128,13
120468.823307232,181.324992,8
134551.809397041,205.9314816,7
86653.3919329203,132.1120128,11
142052.094335921,158.198592,9
112934.391313689,205.9314816,8
